label,text
spam,Win money now click here free prize
ham,Hey how are you doing today
spam,Limited offer buy now exclusive deal
ham,Let's meet tomorrow for lunch
spam,You won a lottery claim your prize now
ham,Can you send me the report by Friday
spam,Urgent your account has been compromised click
ham,Happy birthday hope you have a great day
spam,Free gift card claim it now limited time
ham,Are you coming to the meeting this afternoon
spam,Make money fast work from home guaranteed
ham,Just wanted to check in how are things
spam,Congratulations you are selected for cash reward
ham,Did you see the game last night amazing
spam,Buy cheap medications no prescription needed
ham,I will be a bit late to the office
spam,You have been chosen for exclusive membership
ham,Thanks for your help yesterday really appreciate it
spam,Click here to claim your free vacation package
ham,The project deadline has been moved to next week
spam,Earn 5000 dollars daily from home no experience
ham,Can we reschedule our call to Thursday morning
spam,Your bank account needs immediate verification click here
ham,Looking forward to seeing you at the conference
spam,Hot singles in your area click to meet them
ham,Please review the attached document and give feedback
spam,You owe taxes pay immediately to avoid arrest
ham,Great weather today perfect for a walk outside
spam,Investment opportunity double your money guaranteed returns
ham,Mom asked if you are coming for dinner Sunday